GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BattleByte,com.battlebyte.battlebyte.service.match,MatchingPool,529,35,38,0,116,8,30,2,11,2
BattleByte,com.battlebyte.battlebyte.service.match,MatchingPool.new Comparator() {...},28,6,0,0,1,1,1,1,1,1
BattleByte,com.battlebyte.battlebyte.service.match,Player,164,0,30,0,5,0,26,0,11,0
BattleByte,com.battlebyte.battlebyte.service,MatchService,42,8,0,0,13,2,5,2,5,2
BattleByte,com.battlebyte.battlebyte.service,UserService,149,85,7,7,37,21,11,7,4,7
BattleByte,com.battlebyte.battlebyte.service,FriendService,110,56,11,5,29,14,9,5,3,3
BattleByte,com.battlebyte.battlebyte.service,UploadService,88,3,12,0,26,1,8,1,2,1
BattleByte,com.battlebyte.battlebyte.service,GameService,15,42,0,0,5,11,3,6,3,6
BattleByte,com.battlebyte.battlebyte.service,MessageService,72,3,4,0,17,1,6,1,4,1
BattleByte,com.battlebyte.battlebyte.service,OJService,23,276,3,5,9,66,4,9,1,8
BattleByte,com.battlebyte.battlebyte.util,JwtUtil,27,53,1,1,8,15,2,5,1,5
BattleByte,com.battlebyte.battlebyte.util,RsaUtils,15,23,1,1,4,6,2,1,1,1
BattleByte,com.battlebyte.battlebyte.entity.dto,LoginDTO,121,0,22,0,4,0,20,0,9,0
BattleByte,com.battlebyte.battlebyte.entity.dto,UserDTO,98,17,22,0,0,3,15,5,4,5
BattleByte,com.battlebyte.battlebyte.entity.dto,MessageDTO,115,0,22,0,3,0,20,0,9,0
BattleByte,com.battlebyte.battlebyte.advice,ResponseAdvice,9,16,1,3,2,6,1,4,0,3
BattleByte,com.battlebyte.battlebyte.advice,RestExceptionHandler,0,13,0,0,0,4,0,3,0,3
BattleByte,com.battlebyte.battlebyte.exception,ServiceExceptionHandler,6,3,0,0,1,1,1,1,1,1
BattleByte,com.battlebyte.battlebyte.exception,ServiceException,3,14,0,0,1,6,1,2,1,2
BattleByte,com.battlebyte.battlebyte.controller,TestController,9,3,0,0,2,1,2,1,2,1
BattleByte,com.battlebyte.battlebyte.controller,OJController,0,13,0,0,0,3,0,3,0,3
BattleByte,com.battlebyte.battlebyte.controller,UserController,13,35,0,0,3,8,1,5,1,5
BattleByte,com.battlebyte.battlebyte.controller,FriendController,33,20,0,0,8,3,4,2,4,2
BattleByte,com.battlebyte.battlebyte.controller,WebSocketController,11,3,0,0,3,1,2,1,2,1
BattleByte,com.battlebyte.battlebyte.controller,CommonController,6,3,0,0,1,1,1,1,1,1
BattleByte,com.battlebyte.battlebyte.controller,UploadController,5,3,0,0,1,1,1,1,1,1
BattleByte,com.battlebyte.battlebyte.controller,MessageController,39,3,0,0,8,1,4,1,4,1
BattleByte,com.battlebyte.battlebyte.controller,GameController,10,35,0,0,4,9,2,6,2,6
BattleByte,com.battlebyte.battlebyte.controller,AdminController,0,3,0,0,0,1,0,1,0,1
BattleByte,com.battlebyte.battlebyte.entity,Permission,112,3,22,0,2,1,19,1,8,1
BattleByte,com.battlebyte.battlebyte.entity,UserRole,115,0,22,0,3,0,20,0,9,0
BattleByte,com.battlebyte.battlebyte.entity,Friend,152,3,30,0,3,1,25,1,10,1
BattleByte,com.battlebyte.battlebyte.entity,RolePermission,115,0,22,0,3,0,20,0,9,0
BattleByte,com.battlebyte.battlebyte.entity,User,157,158,55,7,0,8,33,17,2,17
BattleByte,com.battlebyte.battlebyte.entity,Game,132,24,30,0,0,4,19,7,4,7
BattleByte,com.battlebyte.battlebyte.entity,FriendApplication,152,3,30,0,3,1,25,1,10,1
BattleByte,com.battlebyte.battlebyte.entity,Role,112,3,22,0,2,1,19,1,8,1
BattleByte,com.battlebyte.battlebyte.entity,Question,72,3,14,0,1,1,13,1,6,1
BattleByte,com.battlebyte.battlebyte.entity,UserGameRecord,230,45,54,0,0,7,31,13,4,13
BattleByte,com.battlebyte.battlebyte.entity,Message,300,3,58,0,7,1,47,1,18,1
BattleByte,com.battlebyte.battlebyte.realm,UserRealm,50,48,3,3,11,12,4,3,1,3
BattleByte,com.battlebyte.battlebyte.config,BeanContext,8,8,0,0,2,4,2,3,2,3
BattleByte,com.battlebyte.battlebyte.config,ShiroConfig,0,106,0,0,0,30,0,6,0,6
BattleByte,com.battlebyte.battlebyte.config,CorsConfig,0,33,0,0,0,9,0,2,0,2
BattleByte,com.battlebyte.battlebyte.config,UserFilter,120,41,2,2,36,11,2,4,0,4
BattleByte,com.battlebyte.battlebyte.config,WebSocketConfig,0,7,0,0,0,2,0,2,0,2
BattleByte,com.battlebyte.battlebyte.config,UserToken,0,12,0,0,0,5,0,3,0,3
BattleByte,com.battlebyte.battlebyte.config,SimpleJpaRepositoryImpl,6,101,1,7,2,25,1,6,0,3
BattleByte,com.battlebyte.battlebyte.websocket,CurrentGame,122,0,18,0,4,0,20,0,11,0
BattleByte,com.battlebyte.battlebyte.websocket,WebSocketServer,1152,44,86,0,263,11,64,2,21,2
BattleByte,com.battlebyte.battlebyte.common,Result,144,35,24,0,4,6,22,6,10,6
BattleByte,com.battlebyte.battlebyte,BattleByteApplication,6,3,0,0,3,1,1,1,1,1
